Region,Product Category,Sales Amount,Quarter,Year,Profit Margin,Order Date,Customer Type,Employee ID
test⁠test‫,Crackers - Trio,USD,Q4,1989,76,04/16/2024,Wholesale,395
⁰⁴⁵,Cheese - La Sauvagine,PEN,Q2,1984,22,09/03/2024,Wholesale,396
和製漢語,Juice - Apple Cider,RUB,Q3,2001,31,10/09/2023,Wholesale,397
⁦test⁧,Lid Coffee Cup 8oz Blk,IDR,Q2,2000,89,10/14/2023,Wholesale,398
0/0,Chocolate - Mi - Amere Semi,EUR,Q2,2010,55,05/10/2024,Retail,399
"""""",Wine - Ice Wine,CNY,Q3,2004,3,11/30/2023,Retail,400
​,Bread - Sour Batard,CNY,Q2,1999,42,11/20/2023,Retail,401
1/2,Onions - Pearl,PLN,Q2,2001,80,01/04/2024,Retail,402
0.00,Pastry - Cheese Baked Scones,BYR,Q4,1990,81,12/08/2023,Wholesale,403
-1.00,Bread - Pain Au Liat X12,PLN,Q1,2009,38,04/22/2024,Retail,404
⁦test⁧,Olives - Kalamata,CNY,Q3,2004,68,01/26/2024,Wholesale,405
1E02,Langers - Ruby Red Grapfruit,NAD,Q3,1995,63,01/21/2024,Wholesale,406
﻿,Cheese - Brick With Onion,IDR,Q4,1996,10,05/11/2024,Wholesale,407
❤️ 💔 💌 💕 💞 💓 💗 💖 💘 💝 💟 💜 💛 💚 💙,Bagelers,PHP,Q1,2011,89,05/19/2024,Wholesale,408
␣,Island Oasis - Ice Cream Mix,IDR,Q1,1993,32,04/13/2024,Wholesale,409
0/0,Sprite - 355 Ml,PHP,Q2,1993,59,06/15/2024,Retail,410
999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,Grapefruit - White,UZS,Q3,2002,36,07/10/2024,Retail,411
1,Pork - Backfat,NOK,Q2,2010,46,03/30/2024,Retail,412
nil,Tea - Apple Green Tea,PHP,Q4,2008,48,11/07/2023,Retail,413
',"Brocolinni - Gaylan, Chinese",CNY,Q4,2004,62,06/06/2024,Wholesale,414
nil,Onion Powder,ARS,Q4,1994,34,11/07/2023,Retail,415
₀₁₂,Tea - Herbal Orange Spice,UAH,Q1,1985,27,03/20/2024,Retail,416
0️⃣ 1️⃣ 2️⃣ 3️⃣ 4️⃣ 5️⃣ 6️⃣ 7️⃣ 8️⃣ 9️⃣ 🔟,Kaffir Lime Leaves,VND,Q4,1993,99,05/01/2024,Wholesale,417
🚾 🆒 🆓 🆕 🆖 🆗 🆙 🏧,Relish,AED,Q1,2011,57,03/25/2024,Retail,418
(╯°□°）╯︵ ┻━┻)  ,Pineapple - Golden,ARS,Q1,1997,79,08/14/2024,Wholesale,419
(ﾉಥ益ಥ）ﾉ﻿ ┻━┻,"Water, Tap",CNY,Q1,1994,23,10/02/2023,Retail,420
`⁄€‹›ﬁﬂ‡°·‚—±,Beets - Golden,CZK,Q2,2001,13,07/03/2024,Wholesale,421
() { 0; }; touch /tmp/blns.shellshock1.fail;,Cheese - Brie Roitelet,IDR,Q1,2000,88,06/20/2024,Retail,422
사회과학원 어학연구소,The Pop Shoppe Pinapple,EUR,Q3,2000,85,12/17/2023,Retail,423
１２３,Radish - Pickled,EUR,Q3,2001,5,04/18/2024,Wholesale,424
社會科學院語學研究所,Parasol Pick Stir Stick,CNY,Q1,2004,51,01/11/2024,Wholesale,425
1;DROP TABLE users,Island Oasis - Peach Daiquiri,PEN,Q4,1998,81,06/26/2024,Wholesale,426
Ω≈ç√∫˜µ≤≥÷,Nectarines,PHP,Q1,1988,15,08/27/2024,Wholesale,427
␣,Table Cloth 72x144 White,LAK,Q4,1991,63,03/14/2024,Retail,428
0️⃣ 1️⃣ 2️⃣ 3️⃣ 4️⃣ 5️⃣ 6️⃣ 7️⃣ 8️⃣ 9️⃣ 🔟,Sugar - Splenda Sweetener,BRL,Q3,2000,49,07/15/2024,Wholesale,429
␡,Bread - Frozen Basket Variety,RUB,Q1,1992,12,04/22/2024,Retail,430
̡͓̞ͅI̗̘̦͝n͇͇͙v̮̫ok̲̫̙͈i̖͙̭̹̠̞n̡̻̮̣̺g̲͈͙̭͙̬͎ ̰t͔̦h̞̲e̢̤ ͍̬̲͖f̴̘͕̣è͖ẹ̥̩l͖͔͚i͓͚̦͠n͖͍̗͓̳̮g͍ ̨o͚̪͡f̘̣̬ ̖̘͖̟͙̮c҉͔̫͖͓͇͖ͅh̵̤̣͚͔á̗̼͕ͅo̼̣̥s̱͈̺̖̦̻͢.̛̖̞̠̫̰,Kellogs Special K Cereal,CNY,Q4,2010,7,07/04/2024,Wholesale,431
`⁄€‹›ﬁﬂ‡°·‚—±,Eggplant - Regular,AZN,Q3,2011,59,08/31/2024,Retail,432
"""""","Wine - White, Riesling, Semi - Dry",EUR,Q4,1998,25,12/23/2023,Retail,433
-1.00,Icecream Bar - Del Monte,CNY,Q3,1999,80,10/18/2023,Retail,434
部落格,Appetizer - Veg Assortment,CNY,Q4,1994,66,07/14/2024,Retail,435
הָיְתָהtestالصفحات التّحول,Pepper - Red Bell,CNY,Q3,2002,4,07/31/2024,Wholesale,436
nil,Dooleys Toffee,ALL,Q3,1996,35,11/08/2023,Wholesale,437
❤️ 💔 💌 💕 💞 💓 💗 💖 💘 💝 💟 💜 💛 💚 💙,Rappini - Andy Boy,CNY,Q4,2007,89,06/19/2024,Retail,438
🐵 🙈 🙉 🙊,Bagelers - Cinn / Brown,EUR,Q1,2006,84,02/10/2024,Wholesale,439
👩🏽,"Wine - Red, Harrow Estates, Cab",USD,Q4,1988,26,10/12/2023,Wholesale,440
"""''''""'""",Tea - Lemon Green Tea,JPY,Q1,2007,86,01/03/2024,Retail,441
社會科學院語學研究所,Egg Patty Fried,RUB,Q1,1998,26,10/13/2023,Retail,442
̡͓̞ͅI̗̘̦͝n͇͇͙v̮̫ok̲̫̙͈i̖͙̭̹̠̞n̡̻̮̣̺g̲͈͙̭͙̬͎ ̰t͔̦h̞̲e̢̤ ͍̬̲͖f̴̘͕̣è͖ẹ̥̩l͖͔͚i͓͚̦͠n͖͍̗͓̳̮g͍ ̨o͚̪͡f̘̣̬ ̖̘͖̟͙̮c҉͔̫͖͓͇͖ͅh̵̤̣͚͔á̗̼͕ͅo̼̣̥s̱͈̺̖̦̻͢.̛̖̞̠̫̰,"Wine - White, Schroder And Schyl",CNY,Q1,1997,23,01/26/2024,Retail,443
"ثم نفس سقطت وبالتحديد،, جزيرتي باستخدام أن دنو. إذ هنا؟ الستار وتنصيب كان. أهّل ايطاليا، بريطانيا-فرنسا قد أخذ. سليمان، إتفاقية بين ما, يذكر الحدود أي بعد, معاملة بولندا، الإطلاق عل إيو.",Onions - Red Pearl,CNY,Q3,1992,97,06/11/2024,Retail,444
̡͓̞ͅI̗̘̦͝n͇͇͙v̮̫ok̲̫̙͈i̖͙̭̹̠̞n̡̻̮̣̺g̲͈͙̭͙̬͎ ̰t͔̦h̞̲e̢̤ ͍̬̲͖f̴̘͕̣è͖ẹ̥̩l͖͔͚i͓͚̦͠n͖͍̗͓̳̮g͍ ̨o͚̪͡f̘̣̬ ̖̘͖̟͙̮c҉͔̫͖͓͇͖ͅh̵̤̣͚͔á̗̼͕ͅo̼̣̥s̱͈̺̖̦̻͢.̛̖̞̠̫̰,Tea - Herbal - 6 Asst,EUR,Q3,1993,83,01/07/2024,Retail,445
0.00,Ham - Black Forest,PLN,Q1,2006,97,12/02/2023,Retail,446
᠎,Rhubarb,NGN,Q3,1999,40,05/17/2024,Wholesale,447
() { 0; }; touch /tmp/blns.shellshock1.fail;,Turnip - White,BRL,Q2,1984,75,04/30/2024,Retail,448
١٢٣,Soup - Campbells Asian Noodle,CNY,Q2,2006,91,04/06/2024,Wholesale,449
../../../../../../../../../../../etc/hosts,"Veal - Brisket, Provimi, Bone - In",CNY,Q1,1992,96,07/04/2024,Retail,450
ÅÍÎÏ˝ÓÔÒÚÆ☃,Mushrooms - Honey,SEK,Q4,1995,34,03/02/2024,Wholesale,451
(╯°□°）╯︵ ┻━┻)  ,Cardamon Seed / Pod,BRL,Q2,1997,13,01/26/2024,Wholesale,452
"""",Salami - Genova,IDR,Q4,2011,63,12/10/2023,Retail,453
̦H̬̤̗̤͝e͜ ̜̥̝̻͍̟́w̕h̖̯͓o̝͙̖͎̱̮ ҉̺̙̞̟͈W̷̼̭a̺̪͍į͈͕̭͙̯̜t̶̼̮s̘͙͖̕ ̠̫̠B̻͍͙͉̳ͅe̵h̵̬͇̫͙i̹͓̳̳̮͎̫̕n͟d̴̪̜̖ ̰͉̩͇͙̲͞ͅT͖̼͓̪͢h͏͓̮̻e̬̝̟ͅ ̤̹̝W͙̞̝͔͇͝ͅa͏͓͔̹̼̣l̴͔̰̤̟͔ḽ̫.͕,Initation Crab Meat,ARS,Q4,2003,4,02/14/2024,Retail,454
̗̺͖̹̯͓Ṯ̤͍̥͇͈h̲́e͏͓̼̗̙̼̣͔ ͇̜̱̠͓͍ͅN͕͠e̗̱z̘̝̜̺͙p̤̺̹͍̯͚e̠̻̠͜r̨̤͍̺̖͔̖̖d̠̟̭̬̝͟i̦͖̩͓͔̤a̠̗̬͉̙n͚͜ ̻̞̰͚ͅh̵͉i̳̞v̢͇ḙ͎͟-҉̭̩̼͔m̤̭̫i͕͇̝̦n̗͙ḍ̟ ̯̲͕͞ǫ̟̯̰̲͙̻̝f ̪̰̰̗̖̭̘͘c̦͍̲̞͍̩̙ḥ͚a̮͎̟̙͜ơ̩̹͎s̤.̝̝ ҉Z̡̖̜͖̰̣͉̜a͖̰͙̬͡l̲̫̳͍̩g̡̟̼̱͚̞̬ͅo̗͜.̟,"Chicken - Wings, Tip Off",IDR,Q1,1995,65,01/05/2024,Retail,455
𠜎𠜱𠝹𠱓𠱸𠲖𠳏,"Napkin - Beverge, White 2 - Ply",PHP,Q3,2009,35,05/11/2024,Wholesale,456
"""",Petit Baguette,CZK,Q1,1993,93,01/07/2024,Wholesale,457
Z̮̞̠͙͔ͅḀ̗̞͈̻̗Ḷ͙͎̯̹̞͓G̻O̭̗̮,White Baguette,IDR,Q1,2002,37,12/18/2023,Retail,458
Ω≈ç√∫˜µ≤≥÷,Lighter - Bbq,SEK,Q4,1995,19,01/27/2024,Wholesale,459
0.00,"Arctic Char - Fresh, Whole",EUR,Q4,2001,21,08/15/2024,Retail,460
𠜎𠜱𠝹𠱓𠱸𠲖𠳏,Venison - Striploin,ARS,Q2,1994,15,11/17/2023,Wholesale,461
᠎,Lid Coffeecup 12oz D9542b,EUR,Q3,2008,73,05/07/2024,Wholesale,462
"'""'",Olives - Nicoise,IDR,Q4,1985,79,06/13/2024,Retail,463
"ثم نفس سقطت وبالتحديد،, جزيرتي باستخدام أن دنو. إذ هنا؟ الستار وتنصيب كان. أهّل ايطاليا، بريطانيا-فرنسا قد أخذ. سليمان، إتفاقية بين ما, يذكر الحدود أي بعد, معاملة بولندا، الإطلاق عل إيو.",Cut Wakame - Hanawakaba,PHP,Q2,2004,52,01/01/2024,Retail,464
 test ,Kolrabi,CZK,Q3,2004,16,01/21/2024,Retail,465
␣,Passion Fruit,EUR,Q2,1994,54,09/02/2024,Retail,466
1/2,Container - Clear 32 Oz,RSD,Q1,1995,16,01/06/2024,Wholesale,467
00˙Ɩ$-,Langers - Mango Nectar,IDR,Q1,2009,47,12/06/2023,Retail,468
␢,"Coconut - Shredded, Sweet",ALL,Q3,2012,54,11/16/2023,Wholesale,469
"'""'",Sauce - Alfredo,IDR,Q1,1986,19,05/12/2024,Wholesale,470
1;DROP TABLE users,Beer - Heinekin,PEN,Q3,1993,87,10/10/2023,Wholesale,471
👾 🙇 💁 🙅 🙆 🙋 🙎 🙍 ,Butter Ripple - Phillips,CNY,Q2,1994,27,11/24/2023,Wholesale,472
❤️ 💔 💌 💕 💞 💓 💗 💖 💘 💝 💟 💜 💛 💚 💙,Pasta - Canelloni,BRL,Q2,1995,90,03/16/2024,Wholesale,473
"בְּרֵאשִׁית, בָּרָא אֱלֹהִים, אֵת הַשָּׁמַיִם, וְאֵת הָאָרֶץ",Beef - Flank Steak,CNY,Q4,1987,99,12/22/2023,Retail,474
0.00,Tuna - Sushi Grade,IDR,Q3,1994,65,03/20/2024,Wholesale,475
ﾟ･✿ヾ╲(｡◕‿◕｡)╱✿･ﾟ,Okra,CNY,Q3,1996,98,03/25/2024,Retail,476
̡͓̞ͅI̗̘̦͝n͇͇͙v̮̫ok̲̫̙͈i̖͙̭̹̠̞n̡̻̮̣̺g̲͈͙̭͙̬͎ ̰t͔̦h̞̲e̢̤ ͍̬̲͖f̴̘͕̣è͖ẹ̥̩l͖͔͚i͓͚̦͠n͖͍̗͓̳̮g͍ ̨o͚̪͡f̘̣̬ ̖̘͖̟͙̮c҉͔̫͖͓͇͖ͅh̵̤̣͚͔á̗̼͕ͅo̼̣̥s̱͈̺̖̦̻͢.̛̖̞̠̫̰,Lettuce - Romaine,BRL,Q2,1993,12,12/24/2023,Retail,477
١٢٣,Cherries - Frozen,NGN,Q3,1965,58,10/03/2023,Retail,478
✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿,Bar - Sweet And Salty Chocolate,RUB,Q3,1992,54,04/07/2024,Wholesale,479
åß∂ƒ©˙∆˚¬…æ,Lettuce - Lambs Mash,PHP,Q2,1999,63,12/31/2023,Retail,480
null,"Wine - Red, Metus Rose",COP,Q4,2006,57,12/09/2023,Wholesale,481
œ∑´®†¥¨ˆøπ“‘,Paper Cocktail Umberlla 80 - 180,PLN,Q1,1987,67,08/05/2024,Wholesale,482
0.00,"Wine - White, Cooking",MYR,Q1,1992,60,11/05/2023,Wholesale,483
null,Carrots - Jumbo,CZK,Q4,1985,80,12/20/2023,Wholesale,484
/dev/null; touch /tmp/blns.fail ; echo,Sherbet - Raspberry,CNY,Q3,2009,29,04/27/2024,Retail,485
",。・:*:・゜’( ☻ ω ☻ )。・:*:・゜’",Chinese Foods - Pepper Beef,MXN,Q4,2004,26,09/12/2024,Retail,486
1/2,Wine - Tribal Sauvignon,IDR,Q2,1998,4,06/06/2024,Wholesale,487
⁰⁴⁵₀₁₂,"Cheese - Romano, Grated",IDR,Q2,2005,49,05/03/2024,Wholesale,488
﻿,Kolrabi,IDR,Q2,1994,78,12/15/2023,Retail,489
-1E+02,Cheese - Roquefort Pappillon,SEK,Q2,2001,75,10/12/2023,Wholesale,490
"בְּרֵאשִׁית, בָּרָא אֱלֹהִים, אֵת הַשָּׁמַיִם, וְאֵת הָאָרֶץ",Pate - Liver,PLN,Q2,1987,52,12/19/2023,Wholesale,491
00˙Ɩ$-,Wine - Merlot Vina Carmen,GTQ,Q2,2002,64,05/07/2024,Wholesale,492
"""''''""'""",Soup - Verve - Chipotle Chicken,CNY,Q4,2011,78,08/25/2024,Wholesale,493
"""'""'""''''""",Pan Grease,ZAR,Q3,2007,49,08/15/2024,Wholesale,494
‪‪test‪,Ham - Black Forest,PHP,Q4,1995,85,05/18/2024,Wholesale,495
사회과학원 어학연구소,Grenadillo,CZK,Q3,2006,75,09/12/2024,Wholesale,496
",./;'[]\-=","Lid - High Heat, Super Clear",AMD,Q4,1993,52,04/28/2024,Retail,497
<svg><script>0<1>alert('XSS')</script>,Boogies,GTQ,Q4,2003,93,07/17/2024,Retail,498
1;DROP TABLE users,"Crush - Orange, 355ml",EGP,Q2,2007,52,12/01/2023,Retail,499
הָיְתָהtestالصفحات التّحول,Wine - Casillero Del Diablo,CNY,Q4,2009,36,05/06/2024,Wholesale,500
ヽ༼ຈل͜ຈ༽ﾉ ヽ༼ຈل͜ຈ༽ﾉ ,Mortadella,MGA,Q2,1997,41,08/04/2024,Retail,501
₀₁₂,"Syrup - Monin, Amaretta",VEF,Q3,1994,7,02/01/2024,Wholesale,502
0/0,"Veal - Insides, Grains",SEK,Q1,2003,33,02/20/2024,Wholesale,503
١٢٣,"Beef - Chuck, Boneless",PEN,Q1,1986,70,11/12/2023,Wholesale,504
',Campari,RUB,Q4,1992,10,01/07/2024,Retail,505
˙ɐnbᴉlɐ ɐuƃɐɯ ǝɹolop ʇǝ ǝɹoqɐl ʇn ʇunpᴉpᴉɔuᴉ ɹodɯǝʇ poɯsnᴉǝ op pǝs 'ʇᴉlǝ ƃuᴉɔsᴉdᴉpɐ ɹnʇǝʇɔǝsuoɔ 'ʇǝɯɐ ʇᴉs ɹolop ɯnsdᴉ ɯǝɹo˥,"Soup - Knorr, Classic Can. Chili",USD,Q1,2004,61,03/27/2024,Wholesale,506
¸˛Ç◊ı˜Â¯˘¿,Hinge W Undercut,CNY,Q2,1984,69,03/26/2024,Wholesale,507
"<>?:""{}|_+",Chips Potato Salt Vinegar 43g,EUR,Q3,2008,41,01/25/2024,Wholesale,508
⁰⁴⁵,Pork - Side Ribs,PEN,Q4,1995,74,11/15/2023,Retail,509
œ∑´®†¥¨ˆøπ“‘,Beef - Sushi Flat Iron Steak,USD,Q3,2011,5,01/14/2024,Retail,510
Ṱ̺̺̕o͞ ̷i̲̬͇̪͙n̝̗͕v̟̜̘̦͟o̶̙̰̠kè͚̮̺̪̹̱̤ ̖t̝͕̳̣̻̪͞h̼͓̲̦̳̘̲e͇̣̰̦̬͎ ̢̼̻̱̘h͚͎͙̜̣̲ͅi̦̲̣̰̤v̻͍e̺̭̳̪̰-m̢iͅn̖̺̞̲̯̰d̵̼̟͙̩̼̘̳ ̞̥̱̳̭r̛̗̘e͙p͠r̼̞̻̭̗e̺̠̣͟s̘͇̳͍̝͉e͉̥̯̞̲͚̬͜ǹ̬͎͎̟̖͇̤t͍̬̤͓̼̭͘ͅi̪̱n͠g̴͉ ͏͉ͅc̬̟h͡a̫̻̯͘o̫̟̖͍̙̝͉s̗̦̲.̨̹͈̣,Snapple Lemon Tea,EUR,Q4,2009,51,08/26/2024,Retail,511
𠜎𠜱𠝹𠱓𠱸𠲖𠳏,Monkfish Fresh - Skin Off,ILS,Q1,1994,61,01/04/2024,Retail,512
1/2,Wine - Charddonnay Errazuriz,GHS,Q4,2007,77,04/04/2024,Retail,513
() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; },Pie Filling - Pumpkin,USD,Q4,2001,1,09/26/2024,Retail,514
,Rice - Basmati,ARS,Q3,1990,100,11/22/2023,Retail,515
田中さんにあげて下さい,Strawberries - California,CNY,Q1,2000,69,03/14/2024,Wholesale,516
-1/2,"Placemat - Scallop, White",PHP,Q1,1994,53,03/28/2024,Wholesale,517
åß∂ƒ©˙∆˚¬…æ,Yams,RUB,Q1,2000,62,08/09/2024,Wholesale,518
ﾟ･✿ヾ╲(｡◕‿◕｡)╱✿･ﾟ,Sobe - Berry Energy,EUR,Q3,1998,41,05/27/2024,Retail,519
-1E02,Coffee Cup 8oz 5338cd,LYD,Q3,2012,75,11/24/2023,Wholesale,520
ヽ༼ຈل͜ຈ༽ﾉ ヽ༼ຈل͜ຈ༽ﾉ ,Sauce Tomato Pouch,EUR,Q4,1993,52,06/01/2024,Retail,521
✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿,Table Cloth 54x54 Colour,VEF,Q1,2011,45,03/04/2024,Retail,522
🚾 🆒 🆓 🆕 🆖 🆗 🆙 🏧,Pork - Belly Fresh,CNY,Q4,1992,67,07/21/2024,Wholesale,523
Ṱ̺̺̕o͞ ̷i̲̬͇̪͙n̝̗͕v̟̜̘̦͟o̶̙̰̠kè͚̮̺̪̹̱̤ ̖t̝͕̳̣̻̪͞h̼͓̲̦̳̘̲e͇̣̰̦̬͎ ̢̼̻̱̘h͚͎͙̜̣̲ͅi̦̲̣̰̤v̻͍e̺̭̳̪̰-m̢iͅn̖̺̞̲̯̰d̵̼̟͙̩̼̘̳ ̞̥̱̳̭r̛̗̘e͙p͠r̼̞̻̭̗e̺̠̣͟s̘͇̳͍̝͉e͉̥̯̞̲͚̬͜ǹ̬͎͎̟̖͇̤t͍̬̤͓̼̭͘ͅi̪̱n͠g̴͉ ͏͉ͅc̬̟h͡a̫̻̯͘o̫̟̖͍̙̝͉s̗̦̲.̨̹͈̣,Chicken - Base,TND,Q1,2010,61,09/27/2024,Wholesale,524
パーティーへ行かないか,Muffin - Mix - Creme Brule 15l,GEL,Q1,2008,47,08/14/2024,Wholesale,525
1,Bread - White Mini Epi,BRL,Q2,2012,36,11/06/2023,Retail,526
$1.00,Daikon Radish,PHP,Q2,2001,40,12/27/2023,Retail,527
1;DROP TABLE users,Tomatoes - Hot House,PEN,Q3,2012,5,09/07/2024,Retail,528
✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿,Fruit Mix - Light,NGN,Q1,1987,14,11/13/2023,Wholesale,529
⁰⁴⁵₀₁₂,Island Oasis - Mango Daiquiri,TZS,Q3,1993,12,06/26/2024,Retail,530
⁰⁴⁵,Beef - Top Sirloin - Aaa,RUB,Q3,2005,48,05/31/2024,Retail,531
(｡◕ ∀ ◕｡),Fudge - Cream Fudge,BRL,Q3,2007,89,10/24/2023,Retail,532
`⁄€‹›ﬁﬂ‡°·‚—±,"Turkey - Breast, Bone - In",PHP,Q4,2001,5,11/15/2023,Wholesale,533
() { 0; }; touch /tmp/blns.shellshock1.fail;,Energy - Boo - Koo,VND,Q3,2005,37,03/13/2024,Retail,534
-1E+02,"Pork - Bacon, Double Smoked",PLN,Q2,2002,4,02/22/2024,Retail,535
﻿,Calvados - Boulard,CNY,Q2,2006,4,07/20/2024,Wholesale,536
null,Longos - Grilled Veg Sandwiches,USD,Q1,2003,81,08/29/2024,Retail,537
NULL,Ginger - Pickled,BIF,Q3,1989,94,12/31/2023,Wholesale,538
(╯°□°）╯︵ ┻━┻)  ,Cheese - Taleggio D.o.p.,IDR,Q1,1989,40,06/24/2024,Wholesale,539
NIL,Yucca,CZK,Q4,1997,26,11/06/2023,Wholesale,540
✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿,"Vodka - Hot, Lnferno",PHP,Q3,2007,50,02/03/2024,Wholesale,541
999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,"Cheese - Cheddar, Mild",EUR,Q4,1990,77,02/28/2024,Retail,542
⁰⁴⁵₀₁₂,Chocolate Bar - Coffee Crisp,RUB,Q2,2008,72,08/03/2024,Wholesale,543
 ,Straw - Regular,CNY,Q3,2000,49,08/31/2024,Wholesale,544
✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿,"Tart Shells - Savory, 3",IDR,Q2,1995,64,08/05/2024,Retail,545
"ثم نفس سقطت وبالتحديد،, جزيرتي باستخدام أن دنو. إذ هنا؟ الستار وتنصيب كان. أهّل ايطاليا، بريطانيا-فرنسا قد أخذ. سليمان، إتفاقية بين ما, يذكر الحدود أي بعد, معاملة بولندا، الإطلاق عل إيو.",Oil - Macadamia,CNY,Q3,2002,23,07/31/2024,Retail,546
̡͓̞ͅI̗̘̦͝n͇͇͙v̮̫ok̲̫̙͈i̖͙̭̹̠̞n̡̻̮̣̺g̲͈͙̭͙̬͎ ̰t͔̦h̞̲e̢̤ ͍̬̲͖f̴̘͕̣è͖ẹ̥̩l͖͔͚i͓͚̦͠n͖͍̗͓̳̮g͍ ̨o͚̪͡f̘̣̬ ̖̘͖̟͙̮c҉͔̫͖͓͇͖ͅh̵̤̣͚͔á̗̼͕ͅo̼̣̥s̱͈̺̖̦̻͢.̛̖̞̠̫̰,Pate Pans Yellow,UAH,Q4,2011,66,01/10/2024,Retail,547
👾 🙇 💁 🙅 🙆 🙋 🙎 🙍 ,Truffle Shells - White Chocolate,RSD,Q3,2003,47,01/04/2024,Retail,548
-$1.00,"Pasta - Penne, Rigate, Dry",SEK,Q3,2010,6,02/17/2024,Wholesale,549
⁰⁴⁵₀₁₂,Wine - Gato Negro Cabernet,SEK,Q3,1999,1,07/10/2024,Retail,550
パーティーへ行かないか,Cheese - Parmigiano Reggiano,EUR,Q2,1997,35,05/10/2024,Wholesale,551
𠜎𠜱𠝹𠱓𠱸𠲖𠳏,Wine - Two Oceans Sauvignon,PHP,Q3,2006,94,04/30/2024,Retail,552
œ∑´®†¥¨ˆøπ“‘,"Lettuce - Romaine, Heart",BTN,Q3,2012,89,06/12/2024,Wholesale,553
❤️ 💔 💌 💕 💞 💓 💗 💖 💘 💝 💟 💜 💛 💚 💙,"Soup - Knorr, Ministrone",PHP,Q2,2005,62,06/09/2024,Wholesale,554
1;DROP TABLE users,Limes,BRL,Q1,1999,58,02/10/2024,Retail,555
'',Cheese - Shred Cheddar / Mozza,AMD,Q4,1997,7,11/12/2023,Retail,556
␡,Calypso - Black Cherry Lemonade,CNY,Q4,2007,28,10/11/2023,Wholesale,557
(╯°□°）╯︵ ┻━┻)  ,Chicken Breast Halal,BRL,Q4,2003,84,04/30/2024,Wholesale,558
"ثم نفس سقطت وبالتحديد،, جزيرتي باستخدام أن دنو. إذ هنا؟ الستار وتنصيب كان. أهّل ايطاليا، بريطانيا-فرنسا قد أخذ. سليمان، إتفاقية بين ما, يذكر الحدود أي بعد, معاملة بولندا، الإطلاق عل إيو.",Lime Cordial - Roses,HRK,Q3,1987,98,02/25/2024,Retail,559
❤️ 💔 💌 💕 💞 💓 💗 💖 💘 💝 💟 💜 💛 💚 💙,"Asparagus - White, Canned",UYU,Q1,2002,1,10/25/2023,Retail,560
✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿,Sambuca Cream,EUR,Q3,2006,80,09/24/2024,Wholesale,561
｀ｨ(´∀｀∩,Wine - Pinot Grigio Collavini,PHP,Q2,1985,68,03/26/2024,Retail,562
`⁄€‹›ﬁﬂ‡°·‚—±,Sambuca - Ramazzotti,ARS,Q1,2011,86,03/29/2024,Retail,563
울란바토르,Wine - Jackson Triggs Okonagan,CNY,Q4,1999,70,06/05/2024,Retail,564
-1,Rice - Aborio,PEN,Q4,1999,44,04/22/2024,Wholesale,565
울란바토르,Limes,MUR,Q3,1998,40,11/11/2023,Wholesale,566
1'; DROP TABLE users--,Olives - Kalamata,CNY,Q3,2005,54,03/28/2024,Retail,567
1E+02,Wine - Chardonnay South,EUR,Q4,1994,91,01/11/2024,Wholesale,568
(ﾉಥ益ಥ）ﾉ﻿ ┻━┻,"Salmon - Smoked, Sliced",EUR,Q1,2009,25,07/05/2024,Retail,569
",./;'[]\-=",Soho Lychee Liqueur,EUR,Q2,2012,81,06/06/2024,Wholesale,570
(╯°□°）╯︵ ┻━┻)  ,Ham Black Forest,CNY,Q4,2011,15,05/28/2024,Wholesale,571
"""'""'""''''""",Ham - Proscuitto,YER,Q1,2010,83,06/26/2024,Wholesale,572
0️⃣ 1️⃣ 2️⃣ 3️⃣ 4️⃣ 5️⃣ 6️⃣ 7️⃣ 8️⃣ 9️⃣ 🔟,Potatoes - Mini Red,CNY,Q4,2012,87,10/15/2023,Retail,573
"ثم نفس سقطت وبالتحديد،, جزيرتي باستخدام أن دنو. إذ هنا؟ الستار وتنصيب كان. أهّل ايطاليا، بريطانيا-فرنسا قد أخذ. سليمان، إتفاقية بين ما, يذكر الحدود أي بعد, معاملة بولندا، الإطلاق عل إيو.",Salt - Celery,ARS,Q3,1994,92,09/09/2024,Wholesale,574
🚾 🆒 🆓 🆕 🆖 🆗 🆙 🏧,Cheese - Goat With Herbs,IDR,Q1,1992,41,08/25/2024,Retail,575
/dev/null; touch /tmp/blns.fail ; echo,Rye Special Old,EUR,Q1,1999,82,03/23/2024,Retail,576
👩🏽,Steam Pan - Half Size Deep,PEN,Q1,1997,31,09/14/2024,Wholesale,577
NIL,Scallops 60/80 Iqf,IDR,Q2,1992,31,09/18/2024,Retail,578
"<>?:""{}|_+","Crab - Claws, Snow 16 - 24",PLN,Q1,1997,9,01/12/2024,Wholesale,579
-1.00,Dill Weed - Dry,NGN,Q3,2007,29,06/10/2024,Wholesale,580
"""''''""'""","Veal - Round, Eye Of",CNY,Q1,2010,1,06/25/2024,Wholesale,581
